epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,129.271,0.67221,1.29731,1.1213,0.93998,0.93359,0.96769,0.81352,0.57923,1.01966,1.08917,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
31,133.395,0.64926,1.31999,1.11,0.95357,0.93234,0.96892,0.80959,0.56561,1.00119,1.07747,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
32,137.522,0.68854,1.29227,1.11306,0.96031,0.94028,0.97514,0.8135,0.55962,0.9598,1.06833,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
33,142.301,0.65425,1.21697,1.11793,0.96737,0.94415,0.97482,0.82024,0.5488,0.95003,1.06195,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
34,147.097,0.65454,1.22297,1.10885,0.96174,0.94696,0.97568,0.82772,0.54537,0.94674,1.05918,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
35,152.032,0.63078,1.1972,1.10281,0.97109,0.96003,0.98028,0.83057,0.53795,0.93378,1.04985,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
36,156.405,0.66438,1.17305,1.10601,0.97364,0.96014,0.98173,0.83335,0.54014,0.91358,1.05093,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
37,160.593,0.61895,1.17037,1.10198,0.97645,0.95747,0.98219,0.83624,0.53995,0.91269,1.05047,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
38,164.833,0.63428,1.18544,1.10095,0.98674,0.95795,0.98275,0.84252,0.53913,0.90793,1.04899,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115
39,169.174,0.62653,1.11101,1.09598,0.98277,0.96692,0.98344,0.84451,0.53584,0.90034,1.04543,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
40,173.366,0.61414,1.11978,1.08503,0.98328,0.96933,0.9841,0.84737,0.53068,0.89305,1.03979,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
41,178.635,0.63889,1.82458,1.16091,0.98832,0.95952,0.98362,0.84989,0.53494,0.90192,1.04515,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
42,182.91,0.61844,1.73772,1.11161,0.97976,0.96003,0.98386,0.84994,0.53924,0.91339,1.04892,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938
43,187.193,0.5974,1.81126,1.11786,0.97764,0.95032,0.98265,0.84175,0.54719,0.90694,1.05265,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644
44,191.427,0.59325,1.7781,1.14854,0.98796,0.93971,0.98189,0.84445,0.54586,0.90959,1.04898,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349
45,195.347,0.583,1.69629,1.09112,0.95746,0.96621,0.98072,0.84761,0.53589,0.90963,1.04,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055
46,199.475,0.60252,1.73195,1.12119,0.96802,0.9626,0.98133,0.85212,0.53386,0.90834,1.03657,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
47,203.576,0.57617,1.64308,1.08601,0.97291,0.96391,0.9819,0.85327,0.53251,0.90141,1.03439,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467
48,207.726,0.54035,1.59543,1.07215,0.97778,0.96747,0.98227,0.85742,0.53161,0.89527,1.03278,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05
49,211.729,0.58674,1.67323,1.09165,0.97252,0.96529,0.98241,0.85567,0.53037,0.89683,1.03153,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05
50,215.655,0.57219,1.68555,1.05953,0.97644,0.95712,0.98192,0.85393,0.53222,0.89946,1.03332,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05
